#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"lsass","0","4082","2199179976704","26468352","24711168","38408",,,,,,,,"Process","9",,,,,,"4082","920",".","0","",,,,,"38408","38408","24711168","24711168","283040","283040","25247744","25247744","30924800","30924800","158334976","2199181590528",,,"24711168","24711168",,"lsass",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"156721152","2199179976704","False",,,,"26468352","26468352",,
"lync","1","4735","1277714432","266530816","324542464","840928","C:\Program Files (x86)\Microsoft Office\root\Office16\lync.exe","Microsoft Corporation","1249","16.0.9029.2167","16.0.9029.2167","Skype for Business","Microsoft Office 2016","Process","8",,"False",,"5448","Microsoft.Win32.SafeHandles.SafeProcessHandle","4735","11428",".","1515690","Kexin Liu","System.Diagnostics.ProcessModule (lync.exe)","74477568","73269248","System.Diagnostics.ProcessModuleCollection","840928","840928","324542464","324542464","1893896","1893896","328208384","328208384","317911040","317911040","1337495552","1337495552","True","Normal","324542464","324542464","00:05:57.1093750","lync","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:27:16 PM",,"System.Diagnostics.ProcessThreadCollection","00:20:49","00:14:51.8906250","1277714432","1277714432","False",,,,"266530816","266530816",,
"lynchtmlconv","1","629","478490624","34713600","47636480","31224","C:\Program Files (x86)\Microsoft Office\Root\Office16\lynchtmlconv.exe","Microsoft Corporation","42.953125","16.0.9029.2167","16.0.9029.2167","Microsoft Lync","Microsoft Office 2016","Process","8",,"False",,"5480","Microsoft.Win32.SafeHandles.SafeProcessHandle","629","13764",".","0","","System.Diagnostics.ProcessModule (lynchtmlconv.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","31224","31224","47636480","47636480","672528","672528","47710208","47710208","47230976","47230976","482422784","482422784","True","Normal","47636480","47636480","00:00:14.7500000","lynchtmlconv","255","True","1","System.Diagnostics.ProcessStartInfo","3/15/2018 11:06:23 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:42.9531250","00:00:28.2031250","478490624","478490624","False",,,,"34713600","34713600",,
"mDNSResponder","0","181","76951552","4333568","3403776","16272",,,,,,,,"Process","8",,,,,,"181","3816",".","0","",,,,,"16272","16272","3403776","3403776","73816","73816","3416064","3416064","7991296","7991296","79048704","79048704",,,"3403776","3403776",,"mDNSResponder",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"76951552","76951552","False",,,,"4333568","4333568",,
"Memory Compression","0","0","2349465600","967376896","5214208","0",,,,,,,,"Process","8",,,,,,"0","2848",".","0","",,,,,"0","0","5214208","5214208","4224","4224","5255168","5255168","1596923904","1596923904","-1639055360","2655911936",,,"5214208","5214208",,"Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"-1945501696","2349465600","False",,,,"967376896","967376896",,
"MicrosoftEdge","1","5886","2200780136448","286310400","932110336","721664","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe","Microsoft Corporation","6078.046875","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge","Microsoft Edge","Process","8",,"False",,"5564","Microsoft.Win32.SafeHandles.SafeProcessHandle","5886","3384",".","68528","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdge.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","721664","721664","932110336","932110336","3152224","3152224","1008041984","1008041984","418402304","418402304","-765227008","2202552995840","True","Normal","932110336","932110336","00:53:59.7343750","MicrosoftEdge","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:03 PM",,"System.Diagnostics.ProcessThreadCollection","01:41:18.0468750","00:47:18.3125000","1756880896","2200780136448","False",,,,"286310400","286310400",,
"MicrosoftEdgeCP","1","1694","2234168614912","57520128","81453056","93648","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","98.609375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5580","Microsoft.Win32.SafeHandles.SafeProcessHandle","1694","6876",".","797960","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","93648","93648","81453056","81453056","1162024","1162024","86949888","86949888","122007552","122007552","845090816","2234228084736","True","Normal","81453056","81453056","00:00:26.9843750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:04 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:38.6093750","00:01:11.6250000","785620992","2234168614912","False",,,,"57520128","57520128",,
"MicrosoftEdgeCP","1","1225","2234232254464","75714560","153931776","129592","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","8.796875","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5612","Microsoft.Win32.SafeHandles.SafeProcessHandle","1225","7752",".","469142","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","129592","129592","153931776","153931776","1131000","1131000","170213376","170213376","213905408","213905408","894550016","2234277543936","True","Normal","153931776","153931776","00:00:01.5781250","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/23/2018 1:40:15 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.7968750","00:00:07.2187500","849260544","2234232254464","False",,,,"75714560","75714560",,
"MicrosoftEdgeCP","1","1345","2238251167744","356499456","3550298112","3500904","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","1828.015625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5644","Microsoft.Win32.SafeHandles.SafeProcessHandle","1345","8064",".","68792","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","3500904","3500904","-744669184","3550298112","2143656","2143656","-537202688","3757764608","858234880","858234880","746422272","2238424383488","True","Normal","-744669184","3550298112","00:02:17.1093750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:04 PM",,"System.Diagnostics.ProcessThreadCollection","00:30:28.0156250","00:28:10.9062500","573206528","2238251167744","False",,,,"356499456","356499456",,
"MicrosoftEdgeCP","1","706","2233630760960","12009472","26275840","65152","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","228.265625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5676","Microsoft.Win32.SafeHandles.SafeProcessHandle","706","9608",".","68580","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","65152","65152","26275840","26275840","293184","293184","429211648","429211648","423526400","423526400","650346496","2234033340416","True","Normal","26275840","26275840","00:00:34.7500000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:04 PM",,"System.Diagnostics.ProcessThreadCollection","00:03:48.2656250","00:03:13.5156250","247767040","2233630760960","False",,,,"12009472","12009472",,
"MicrosoftEdgeCP","1","1724","2234274050048","79544320","134897664","134248","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","384.765625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5708","Microsoft.Win32.SafeHandles.SafeProcessHandle","1724","9836",".","2763640","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","134248","134248","134897664","134897664","1314056","1314056","165031936","165031936","200941568","200941568","952578048","2234335571968","True","Normal","134897664","134897664","00:04:29.0156250","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/16/2018 10:22:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:06:24.7656250","00:01:55.7500000","891056128","2234274050048","False",,,,"79544320","79544320",,
"MicrosoftEdgeCP","1","1670","2234526928896","187097088","399556608","126432","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","91.890625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5744","Microsoft.Win32.SafeHandles.SafeProcessHandle","1670","10476",".","534978","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","126432","126432","399556608","399556608","1269680","1269680","422699008","422699008","378413056","378413056","1211322368","2234594316288","True","Normal","399556608","399556608","00:00:31.8750000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/23/2018 1:43:45 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:31.8906250","00:01:00.0156250","1143934976","2234526928896","False",,,,"187097088","187097088",,
"MicrosoftEdgeCP","1","1144","2234204807168","52813824","135409664","101536","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","131.5625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5776","Microsoft.Win32.SafeHandles.SafeProcessHandle","1144","14872",".","70004","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","101536","101536","135409664","135409664","1115936","1115936","135872512","135872512","167604224","167604224","883408896","2234266402816","True","Normal","135409664","135409664","00:00:31.3750000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:02:11.5625000","00:01:40.1875000","821813248","2234204807168","False",,,,"52813824","52813824",,
"MicrosoftEdgeCP","1","1195","2234199105536","104857600","121987072","103080","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","330.296875","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5812","Microsoft.Win32.SafeHandles.SafeProcessHandle","1195","15584",".","204670","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","103080","103080","121987072","121987072","1146936","1146936","141447168","141447168","175321088","175321088","877711360","2234260705280","True","Normal","121987072","121987072","00:00:34.8125000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 10:05:46 AM",,"System.Diagnostics.ProcessThreadCollection","00:05:30.2968750","00:04:55.4843750","816111616","2234199105536","False",,,,"104857600","104857600",,
"MicrosoftEdgeCP","1","2005","2234835296256","433324032","544763904","318528","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","1157.078125","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5836","Microsoft.Win32.SafeHandles.SafeProcessHandle","2005","15680",".","69752","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","422936576","421728256","System.Diagnostics.ProcessModuleCollection","318528","318528","544763904","544763904","1317496","1317496","697237504","697237504","709615616","709615616","1548546048","2234931539968","True","Normal","544763904","544763904","00:03:13.0312500","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:37 PM",,"System.Diagnostics.ProcessThreadCollection","00:19:17.0781250","00:16:04.0468750","1452302336","2234835296256","False",,,,"433324032","433324032",,
"MicrosoftEdgeCP","1","1609","2234754211840","59215872","121970688","132392","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","25.171875","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5868","Microsoft.Win32.SafeHandles.SafeProcessHandle","1609","15780",".","76204","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","132392","132392","121970688","121970688","2370520","2370520","124620800","124620800","118239232","118239232","1417555968","2234800549888","True","Normal","121970688","121970688","00:00:09.7656250","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:07 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:25.1718750","00:00:15.4062500","1371217920","2234754211840","False",,,,"59215872","59215872",,
"MicrosoftEdgeCP","1","1117","2234141605888","53796864","73490432","77376","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","117","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5900","Microsoft.Win32.SafeHandles.SafeProcessHandle","1117","18936",".","69888","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","77376","77376","73490432","73490432","1140576","1140576","84541440","84541440","103702528","103702528","821260288","2234204254208","True","Normal","73490432","73490432","00:00:36.5000000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:40 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:57","00:01:20.5000000","758611968","2234141605888","False",,,,"53796864","53796864",,
"MicrosoftEdgeCP","1","1363","2234249224192","105508864","163069952","130144","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","729.625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5932","Microsoft.Win32.SafeHandles.SafeProcessHandle","1363","19032",".","69830","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","130144","130144","163069952","163069952","1169616","1169616","180699136","180699136","212398080","212398080","928743424","2234311737344","True","Normal","163069952","163069952","00:00:51.6093750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:41 PM",,"System.Diagnostics.ProcessThreadCollection","00:12:09.6250000","00:11:18.0156250","866230272","2234249224192","False",,,,"105508864","105508864",,
"MicrosoftEdgeCP","1","1147","2234764419072","75390976","134803456","122536","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","282.484375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5192","Microsoft.Win32.SafeHandles.SafeProcessHandle","1147","19404",".","69954","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","122536","122536","134803456","134803456","2167360","2167360","136069120","136069120","160239616","160239616","1444327424","2234827321344","True","Normal","134803456","134803456","00:01:11.3281250","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:43:48 PM",,"System.Diagnostics.ProcessThreadCollection","00:04:42.4843750","00:03:31.1562500","1381425152","2234764419072","False",,,,"75390976","75390976",,
"MicrosoftEdgeCP","1","1246","2234225348608","27934720","107913216","103968","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","92.953125","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5620","Microsoft.Win32.SafeHandles.SafeProcessHandle","1246","20648",".","70362","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","103968","103968","107913216","107913216","1184584","1184584","148750336","148750336","158965760","158965760","901857280","2234284851200","True","Normal","107913216","107913216","00:00:36","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:44:23 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:32.9531250","00:00:56.9531250","842354688","2234225348608","False",,,,"27934720","27934720",,
"MicrosoftEdgeCP","1","1476","2234292965376","25436160","186421248","108440","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","88.734375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5756","Microsoft.Win32.SafeHandles.SafeProcessHandle","1476","21448",".","70576","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","108440","108440","186421248","186421248","1220280","1220280","205344768","205344768","174264320","174264320","971571200","2234354565120","True","Normal","186421248","186421248","00:00:31.2500000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:44:29 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:28.7343750","00:00:57.4843750","909971456","2234292965376","False",,,,"25436160","25436160",,
"MicrosoftEdgeCP","1","1535","2234467475456","160567296","359399424","218232","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","552.390625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5880","Microsoft.Win32.SafeHandles.SafeProcessHandle","1535","21896",".","70698","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","218232","218232","359399424","359399424","1188576","1188576","361148416","361148416","377671680","377671680","1145032704","2234528026624","True","Normal","359399424","359399424","00:00:53.8125000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/14/2018 1:44:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:09:12.3906250","00:08:18.5781250","1084481536","2234467475456","False",,,,"160567296","160567296",,
"MicrosoftEdgeCP","1","1214","2234285826048","111091712","176857088","153120","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","1108.75","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5212","Microsoft.Win32.SafeHandles.SafeProcessHandle","1214","25568",".","919554","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","153120","153120","176857088","176857088","1134000","1134000","217079808","217079808","260218880","260218880","963645440","2234346639360","True","Normal","176857088","176857088","00:01:13.7968750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/16/2018 4:57:10 PM",,"System.Diagnostics.ProcessThreadCollection","00:18:28.7500000","00:17:14.9531250","902832128","2234285826048","False",,,,"111091712","111091712",,
"MicrosoftEdgeCP","1","1164","2234146603008","59318272","64016384","85008","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","95.03125","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5364","Microsoft.Win32.SafeHandles.SafeProcessHandle","1164","28560",".","394856","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","85008","85008","64016384","64016384","1146080","1146080","87007232","87007232","107536384","107536384","826257408","2234209251328","True","Normal","64016384","64016384","00:00:31.9062500","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/16/2018 1:59:14 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:35.0312500","00:01:03.1250000","763609088","2234146603008","False",,,,"59318272","59318272",,
"MicrosoftEdgeCP","1","1295","2234238234624","146333696","106483712","122784","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","8.515625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5420","Microsoft.Win32.SafeHandles.SafeProcessHandle","1295","32960",".","4074302","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","122784","122784","106483712","106483712","1318400","1318400","160485376","160485376","192684032","192684032","910376960","2234293370880","True","Normal","106483712","106483712","00:00:02.5625000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/20/2018 12:54:50 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.5156250","00:00:05.9531250","855240704","2234238234624","False",,,,"146333696","146333696",,
"MicrosoftEdgeCP","1","1105","2234148573184","64192512","90198016","86520","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","61.234375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5968","Microsoft.Win32.SafeHandles.SafeProcessHandle","1105","35088",".","4005728","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","86520","86520","90198016","90198016","1117880","1117880","102391808","102391808","145342464","145342464","827174912","2234210168832","True","Normal","90198016","90198016","00:00:17.9062500","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/20/2018 11:02:09 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:01.2343750","00:00:43.3281250","765579264","2234148573184","False",,,,"64192512","64192512",,
"MicrosoftEdgeCP","1","1067","2234175676416","118521856","96038912","99176","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","523.34375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5248","Microsoft.Win32.SafeHandles.SafeProcessHandle","1067","35932",".","16387576","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","99176","99176","96038912","96038912","1142888","1142888","107950080","107950080","143155200","143155200","854261760","2234237255680","True","Normal","96038912","96038912","00:01:38.1093750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/21/2018 9:46:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:08:43.3437500","00:07:05.2343750","792682496","2234175676416","False",,,,"118521856","118521856",,
"MicrosoftEdgeCP","1","1147","2234139631616","66031616","58040320","79240","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","83.4375","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"3620","Microsoft.Win32.SafeHandles.SafeProcessHandle","1147","36440",".","12590164","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","79240","79240","58040320","58040320","1155232","1155232","72085504","72085504","112283648","112283648","815091712","2234198085632","True","Normal","58040320","58040320","00:00:30.9375000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 9:44:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:23.4375000","00:00:52.5000000","756637696","2234139631616","False",,,,"66031616","66031616",,
"MicrosoftEdgeCP","1","1277","2234357186560","92307456","222818304","200544","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","106.390625","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5752","Microsoft.Win32.SafeHandles.SafeProcessHandle","1277","36932",".","13571278","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","200544","200544","222818304","222818304","1161144","1161144","284409856","284409856","328892416","328892416","1044672512","2234427666432","True","Normal","222818304","222818304","00:00:28.6875000","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 12:39:32 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:46.3906250","00:01:17.7031250","974192640","2234357186560","False",,,,"92307456","92307456",,
"MicrosoftEdgeCP","1","1032","2233776775168","61779968","27013120","73784","C:\WINDOWS\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe","Microsoft Corporation","28.828125","11.00.16299.309 (WinBuild.160101.0800)","11.00.16299.309","Microsoft Edge Content Process","Microsoft Edge","Process","8",,"False",,"5696","Microsoft.Win32.SafeHandles.SafeProcessHandle","1032","39432",".","924166","Microsoft Edge","System.Diagnostics.ProcessModule (MicrosoftEdgeCP.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73784","73784","27013120","27013120","536496","536496","176164864","176164864","202424320","202424320","898748416","2234281742336","True","Normal","27013120","27013120","00:00:07.9843750","MicrosoftEdgeCP","255","True","1","System.Diagnostics.ProcessStartInfo","3/19/2018 1:21:46 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:28.8281250","00:00:20.8437500","393781248","2233776775168","False",,,,"61779968","61779968",,
